,index,confirmed_date
0,03-may.-20,145
1,28-feb.-20,137
2,03-ene.-20,133
3,26-feb.-20,122
4,03-abr.-20,116
5,03-mar.-20,113
6,27-feb.-20,112
7,29-feb.-20,103
8,03-jun.-20,99
9,03-oct.-20,95
10,25-feb.-20,93
11,31-mar.-20,78
12,27-may.-20,77
13,23-feb.-20,75
14,20-mar.-20,73
15,22-feb.-20,72
16,03-sep.-20,69
17,03-feb.-20,68
18,28-mar.-20,67
19,04-feb.-20,59
20,24-mar.-20,57
21,28-may.-20,57
22,18-mar.-20,57
23,24-feb.-20,57
24,03-jul.-20,57
25,29-mar.-20,55
26,03-ago.-20,54
27,06-may.-20,53
28,16-mar.-20,53
29,06-jun.-20,52
30,19-jun.-20,52
31,03-nov.-20,51
32,17-jun.-20,50
33,06-sep.-20,50
34,19-mar.-20,50
35,06-dic.-20,49
36,27-mar.-20,49
37,26-mar.-20,49
38,04-mar.-20,48
39,04-ene.-20,48
40,27-jun.-20,48
41,25-mar.-20,47
42,30-mar.-20,46
43,06-ene.-20,46
44,17-mar.-20,44
45,06-feb.-20,44
46,06-nov.-20,44
47,04-abr.-20,43
48,20-feb.-20,42
49,18-jun.-20,42
50,20-jun.-20,41
51,16-jun.-20,40
52,26-jun.-20,40
53,06-abr.-20,39
54,06-oct.-20,38
55,23-jun.-20,38
56,28-jun.-20,38
57,21-mar.-20,38
58,06-ago.-20,38
59,13-jun.-20,38
60,29-may.-20,37
61,21-feb.-20,37
62,15-mar.-20,37
63,26-may.-20,37
64,13-mar.-20,35
65,03-dic.-20,35
66,04-jul.-20,34
67,14-mar.-20,34
68,25-jun.-20,33
69,06-mar.-20,33
70,31-may.-20,32
71,22-mar.-20,31
72,05-sep.-20,30
73,13-may.-20,29
74,06-jul.-20,28
75,05-nov.-20,28
76,19-feb.-20,28
77,04-may.-20,27
78,19-may.-20,27
79,05-oct.-20,27
80,24-jun.-20,25
81,29-jun.-20,25
82,14-jun.-20,25
83,04-ago.-20,24
84,14-may.-20,24
85,15-jun.-20,24
86,04-sep.-20,23
87,30-may.-20,23
88,23-mar.-20,23
89,04-jun.-20,22
90,22-may.-20,22
91,05-ago.-20,22
92,05-dic.-20,21
93,21-jun.-20,20
94,14-abr.-20,20
95,23-may.-20,20
96,04-dic.-20,18
97,13-abr.-20,17
98,24-may.-20,17
99,04-oct.-20,16
100,20-may.-20,15
101,22-jun.-20,15
102,25-may.-20,14
103,18-may.-20,14
104,15-abr.-20,14
105,17-abr.-20,13
106,04-nov.-20,12
107,21-may.-20,11
108,16-abr.-20,11
109,27-abr.-20,10
110,21-abr.-20,10
111,16-may.-20,10
112,15-may.-20,10
113,25-abr.-20,9
114,05-feb.-20,9
115,18-feb.-20,9
116,24-abr.-20,8
117,05-jul.-20,8
118,19-abr.-20,7
119,17-may.-20,7
120,22-abr.-20,7
121,30-jun.-20,7
122,28-abr.-20,6
123,20-abr.-20,6
124,18-abr.-20,5
125,02-may.-20,5
126,26-abr.-20,5
127,23-abr.-20,5
128,30-ene.-20,4
129,05-ene.-20,4
130,30-abr.-20,4
131,05-mar.-20,3
132,02-feb.-20,3
133,31-ene.-20,3
134,02-sep.-20,3
135,05-jun.-20,3
136,05-may.-20,2
137,16-feb.-20,2
138,02-jun.-20,2
139,02-ene.-20,1
140,02-mar.-20,1
141,20-ene.-20,1
142,27-ene.-20,1
143,02-jul.-20,1
144,29-abr.-20,1
145,26-ene.-20,1
146,02-oct.-20,1
147,23-ene.-20,1
